id,URL,Status,transactionType,transactionSubtype,price,isSubjectToVat,isFurnished,type,subtype,country,region,province,district,locality,postalCode,street,number,box,floor,latitude,longitude,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,condition,hasLift,kitchen,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,primaryEnergyConsumptionPerSqm,epcScore,heatingType,hasDoubleGlazing,saleType,creationDate,lastModificationDate,bookmarkCount,viewCount
10826774,https://www.immoweb.be/en/classified/10826774,200,FOR_SALE,BUY_REGULAR,175000,False,,HOUSE,TOWN_HOUSE,Belgium,Flanders,Flemish Brabant,Leuven,Scherpenheuvel,3270,Elenstraat,2,,,50.9801501,4.9759956,2,126.0,1982.0,2.0,,,,,,,True,,50.0,False,,,1.0,0,,1.0,,351.0,D,,,notarySale,2023-09-18T14:01:28.000+0000,2023-09-18T14:01:28.953+0000,,
10826759,https://www.immoweb.be/en/classified/10826759,200,FOR_SALE,BUY_REGULAR,319000,False,False,APARTMENT,APARTMENT,Belgium,Flanders,Antwerp,Turnhout,Herenthout,2270,De Merodestraat,33,Bus 201,2.0,51.1384795,4.7420648,2,136.0,2006.0,2.0,2.0,GOOD,True,INSTALLED,,,True,36.0,,False,False,,1.0,0,,1.0,,246.0,C,GAS,True,,2023-09-18T13:57:07.100+0000,2023-09-18T14:04:22.360+0000,,
10826784,https://www.immoweb.be/en/classified/10826784,200,FOR_SALE,PUBLIC_SALE,250000,False,,HOUSE,HOUSE,Belgium,Flanders,West Flanders,Roeselare,Ingelmunster,8770,Beelshoek,29,,,50.9199576,3.2905897,4,,,4.0,,TO_RENOVATE,,INSTALLED,,,,,1780.0,False,,,1.0,0,,2.0,,1184.0,F,,,publicSale,2023-09-18T14:02:18.000+0000,2023-09-18T14:02:19.410+0000,,
10728203,https://www.immoweb.be/en/classified/10728203,200,FOR_SALE,BUY_REGULAR,145000,False,False,APARTMENT,APARTMENT,Belgium,Flanders,Flemish Brabant,Halle-Vilvoorde,Wolvertem,1861,,,,1.0,,,1,,1965.0,,2.0,,False,SEMI_EQUIPPED,,,,,,False,False,False,1.0,0,1.0,1.0,,294.0,C,GAS,False,,2023-08-01T07:39:12.133+0000,2023-09-18T13:27:53.547+0000,4.0,390.0
10826779,https://www.immoweb.be/en/classified/10826779,200,FOR_SALE,BUY_REGULAR,195000,False,,HOUSE,HOUSE,Belgium,Flanders,West Flanders,Kortrijk,Harelbeke,8530,Heerbaan,117,,,50.848646,3.3180475,3,,1960.0,2.0,,TO_RENOVATE,,INSTALLED,,,True,,292.0,False,,,1.0,0,,1.0,,594.0,F,,,notarySale,2023-09-18T14:02:03.000+0000,2023-09-18T14:02:04.327+0000,,
10826786,https://www.immoweb.be/en/classified/10826786,200,FOR_SALE,BUY_REGULAR,1100000,False,,APARTMENT,PENTHOUSE,Belgium,Flanders,East Flanders,Gent,Gent,9000,Prinses Clementinalaan,17,601,6.0,51.0347447,3.7155523,3,179.0,2022.0,2.0,6.0,GOOD,True,,,,True,,,False,,True,2.0,0,2.0,1.0,,97.0,A,,False,,2023-09-18T14:03:00.580+0000,2023-09-18T14:03:01.073+0000,,
10826772,https://www.immoweb.be/en/classified/10826772,200,FOR_SALE,BUY_REGULAR,179000,False,,HOUSE,HOUSE,Belgium,Wallonie,Liège,Liège,Liège,4020,Avenue Joseph Merlot,88,,,50.6389978,5.6060889,3,98.0,,2.0,,TO_BE_DONE_UP,False,INSTALLED,True,20.0,True,15.0,0.0,False,False,False,1.0,0,2.0,,1.0,,,GAS,True,,2023-09-18T14:00:57.000+0000,2023-09-18T14:00:58.487+0000,,
10826789,https://www.immoweb.be/en/classified/10826789,200,FOR_SALE,BUY_REGULAR,249000,False,,HOUSE,HOUSE,Belgium,Flanders,East Flanders,Sint-Niklaas,Lokeren,9160,Heirbrugstraat,270,,,51.1065186,3.9752009,3,136.0,,2.0,,GOOD,False,INSTALLED,True,1.0,True,1.0,95.0,False,False,False,1.0,0,1.0,,,254.0,C,GAS,False,,2023-09-18T14:04:01.000+0000,2023-09-18T14:04:02.547+0000,,
10826792,https://www.immoweb.be/en/classified/10826792,200,FOR_SALE,BUY_REGULAR,350000,False,False,APARTMENT,APARTMENT,Belgium,Flanders,East Flanders,Gent,Landegem,9850,Kerkstraat,19,002,0.0,51.056335,3.5746709,2,83.0,2017.0,2.0,3.0,GOOD,True,,,,True,18.0,,False,False,,1.0,0,,,,53.0,A,GAS,True,,2023-09-18T14:04:18.080+0000,2023-09-18T14:04:18.590+0000,,
10826780,https://www.immoweb.be/en/classified/10826780,200,FOR_SALE,PUBLIC_SALE,260000,False,,HOUSE,HOUSE,Belgium,Flanders,East Flanders,Sint-Niklaas,Meerdonk,9170,Kloosterstraat,21,,,51.260844,4.1504206,2,,2005.0,,,AS_NEW,,INSTALLED,,,,,321.0,False,True,,1.0,0,2.0,,,101.0,B,GAS,,publicSale,2023-09-18T14:02:06.000+0000,2023-09-18T14:02:07.807+0000,,
